"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","EffectiveStartDate","EffectiveEndDate","Name","Title","GUID","SourceLang","Language","ClassificationCode","ClassificationName","OrganizationCode","OrganizationId"
"LE_103","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E075CD0585ED008E053120C1B0A89EA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square International Services Inc","","6E075CD0585ED008E053120C1B0A89EA","US","US","HCM_PSU","","LE_103",""
"LE_151","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E076F5335BC3099E053140C1B0AB269","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Canada Inc.","","6E076F5335BC3099E053140C1B0AB269","US","US","HCM_PSU","","LE_151",""
"LE_109","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E10D6BEBB97F8AFE053140C1B0A93DB","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Weebly LLC","","6E10D6BEBB97F8AFE053140C1B0A93DB","US","US","HCM_PSU","","LE_109",""
"LE_105","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E07578E4DB62596E053120C1B0AB9BB","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Payroll Inc.","","6E07578E4DB62596E053120C1B0AB9BB","US","US","HCM_PSU","","LE_105",""
"LE_001","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E070A46168425B0E053120C1B0A116A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block, Inc.","","6E070A46168425B0E053120C1B0A116A","US","US","HCM_PSU","","LE_001",""
"LE_108","0001/01/01","4712/12/31","OrganizationMigrationTranslation","6E07574CC6B6F87FE053140C1B0AE0CD","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Capital LLC","","6E07574CC6B6F87FE053140C1B0AE0CD","US","US","HCM_PSU","","LE_108",""
"LE_250","2001/01/01","4712/12/31","OrganizationMigrationTranslation","76DF1F833DA94B2AE053120C1B0A036D","0001/01/01","","0001/01/01","2000/12/31","Square AU Pty Ltd","","76DF1F833DA94B2AE053120C1B0A036D","US","US","HCM_PSU","","LE_250",""
"LE_250","2001/01/01","4712/12/31","OrganizationMigrationTranslation","76DF1F833DA94B2AE053120C1B0A036D","","4712/12/31","2001/01/01","4712/12/31","Square AU Pty Ltd","","76DF1F833DA94B2AE053120C1B0A036D","US","US","HCM_PSU","","LE_250",""
"LE_301","0001/01/01","4712/12/31","OrganizationMigrationTranslation","76E53429688E80B9E053120C1B0AF317","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup Europe Limited (UK)","","76E53429688E80B9E053120C1B0AF317","US","US","HCM_PSU","","LE_301",""
"LE_302","0001/01/01","4712/12/31","OrganizationMigrationTranslation","76E19687A5FE474FE053140C1B0A89C0","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup (UK) Limited","","76E19687A5FE474FE053140C1B0A89C0","US","US","HCM_PSU","","LE_302",""
"LE_312","0001/01/01","4712/12/31","OrganizationMigrationTranslation","76E98BBC9BECB38CE053140C1B0A83AB","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup International Limited","","76E98BBC9BECB38CE053140C1B0A83AB","US","US","HCM_PSU","","LE_312",""
"LE_0006","0001/01/01","4712/12/31","OrganizationMigrationTranslation","809DF4B032F26E99E053140C1B0A881A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square K.K.","","809DF4B032F26E99E053140C1B0A881A","US","US","HCM_PSU","","LE_0006",""
"LE_152","0001/01/01","4712/12/31","OrganizationMigrationTranslation","8B4264D843D2CC29E053140C1B0A5E94","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Technologies, Inc","","8B4264D843D2CC29E053140C1B0A5E94","US","US","HCM_PSU","","LE_152",""
"LE_112","0001/01/01","4712/12/31","OrganizationMigrationTranslation","924F840E05FCE22BE053140C1B0A5288","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Money Services, Inc","","924F840E05FCE22BE053140C1B0A5288","US","US","HCM_PSU","","LE_112",""
"LE_220","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A2C1270393494175E053120C1B0AAF74","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Trading (Shenzhen) Company Limited","","A2C1270393494175E053120C1B0AAF74","US","US","HCM_PSU","","LE_220",""
"FR315","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A2C127FEAC84EEA3E053140C1B0A0DCA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup (France) SAS","","A2C127FEAC84EEA3E053140C1B0A0DCA","US","US","HCM_PSU","","FR315",""
"LE_0023","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A2C06B6B59F49DDFE053120C1B0A9EA3","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Snackskal AB","","A2C06B6B59F49DDFE053120C1B0A9EA3","US","US","HCM_PSU","","LE_0023",""
"LE_0003","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A2C1275663C44A5BE053140C1B0A394F","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup Pte. Ltd","","A2C1275663C44A5BE053140C1B0A394F","US","US","HCM_PSU","","LE_0003",""
"LE_311","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A2C127CC63279D86E053120C1B0AFD2E","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Block Global B.V.","","A2C127CC63279D86E053120C1B0AFD2E","US","US","HCM_PSU","","LE_311",""
"LE_113","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A98F0FF92FDEB759E053140C1B0ABCBA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Verse Technologies, Inc.","","A98F0FF92FDEB759E053140C1B0ABCBA","US","US","HCM_PSU","","LE_113",""
"LE_314","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A99485BA19FB3C26E053140C1B0A8510","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Verse Payments Lithuania, UAB","","A99485BA19FB3C26E053140C1B0A8510","US","US","HCM_PSU","","LE_314",""
"LE_313","0001/01/01","4712/12/31","OrganizationMigrationTranslation","A991065CBA318A66E053140C1B0A1E42","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Decentralized Global Payments, SL","","A991065CBA318A66E053140C1B0A1E42","US","US","HCM_PSU","","LE_313",""
"LE_114","0001/01/01","4712/12/31","OrganizationMigrationTranslation","AAB9BB7CD20180E7E053140C1B0A1D9F","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Investing LLC","","AAB9BB7CD20180E7E053140C1B0A1D9F","US","US","HCM_PSU","","LE_114",""
"LE_115","0001/01/01","4712/12/31","OrganizationMigrationTranslation","ABBF844348E37639E053140C1B0A932D","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Stitch Labs, Inc.","","ABBF844348E37639E053140C1B0A932D","US","US","HCM_PSU","","LE_115",""
"LE_303","0001/01/01","4712/12/31","OrganizationMigrationTranslation","AD0CD882662479CEE053140C1B0A5341","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Squareup International Services Ltd.","","AD0CD882662479CEE053140C1B0A5341","US","US","HCM_PSU","","LE_303",""
"317_LE","2020/07/01","4712/12/31","OrganizationMigrationTranslation","ADC698D339A24071E053120C1B0AB537","0001/01/01","","0001/01/01","2020/06/30","Squareup GmbH","","ADC698D339A24071E053120C1B0AB537","US","US","HCM_PSU","","317_LE",""
"317_LE","2020/07/01","4712/12/31","OrganizationMigrationTranslation","ADC698D339A24071E053120C1B0AB537","","4712/12/31","2020/07/01","4712/12/31","Squareup GmbH","","ADC698D339A24071E053120C1B0AB537","US","US","HCM_PSU","","317_LE",""
"LE_117","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B1C64731A7A80B42E053120C1B0A28E9","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Huinaha Reinsurance Inc.","","B1C64731A7A80B42E053120C1B0A28E9","US","US","HCM_PSU","","LE_117",""
"LE_116","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B3E9259FCD0AA79FE053140C1B0A72AD","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Taxes, Inc.","","B3E9259FCD0AA79FE053140C1B0A72AD","US","US","HCM_PSU","","LE_116",""
"LE_304","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B94EF0BF879952B4E053A162500A97B9","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Innovation (UK) Ltd.","","B94EF0BF879952B4E053A162500A97B9","US","US","HCM_PSU","","LE_304",""
"LE_318","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B94EF0BF879E52B4E053A162500A97B9","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Capel (IE) Limited","","B94EF0BF879E52B4E053A162500A97B9","US","US","HCM_PSU","","LE_318",""
"LE_319","0001/01/01","4712/12/31","OrganizationMigrationTranslation","B94EF0D85D95A6ABE053A062500A0E1B","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Cash App Innovation (IE) Limited","","B94EF0D85D95A6ABE053A062500A0E1B","US","US","HCM_PSU","","LE_319",""
"LE_131","0001/01/01","4712/12/31","OrganizationMigrationTranslation","BC2E47C0E7A38AF1E053A162500ADA08","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Square Financial Services Inc.","","BC2E47C0E7A38AF1E053A162500ADA08","US","US","HCM_PSU","","LE_131",""
"LE_215","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C3EB43521F962177E053A062500AC779","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Global Risk Engagement B.V. (TWN)","","C3EB43521F962177E053A062500AC779","US","US","HCM_PSU","","LE_215",""
"LE_118","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B94AD0B899C634E053A162500A596A","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Vandutch Acquisition Corp. (DE)","","C8B94AD0B899C634E053A162500A596A","US","US","HCM_PSU","","LE_118",""
"LE_321","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B99CBB8CF4C3ACE053A162500AA696","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Music AS","","C8B99CBB8CF4C3ACE053A162500AA696","US","US","HCM_PSU","","LE_321",""
"LE_323","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B004CFD4E25FE053A062500AEE82","0001/01/01","4712/12/31","0001/01/01","4712/12/31","WiMP Music GmbH","","C8B9B004CFD4E25FE053A062500AEE82","US","US","HCM_PSU","","LE_323",""
"LE_324","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B004CFD9E25FE053A062500AEE82","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal US AB","","C8B9B004CFD9E25FE053A062500AEE82","US","US","HCM_PSU","","LE_324",""
"LE_120","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958C48ACCC5C4E053A162500A91B4","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Malibu Entertainment Inc.(US)","","C8B958C48ACCC5C4E053A162500A91B4","US","US","HCM_PSU","","LE_120",""
"LE_320","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9BAFC2A87FA05E053A162500AB492","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Aspiro AB","","C8B9BAFC2A87FA05E053A162500AB492","US","US","HCM_PSU","","LE_320",""
"LE_501","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B00E7364D8ABE053A062500A891C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther Ltd.","","C8B9B00E7364D8ABE053A062500A891C","US","US","HCM_PSU","","LE_501",""
"LE_503","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9B00E736AD8ABE053A062500A891C","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Serviços de Entretenimento Ltda","","C8B9B00E736AD8ABE053A062500A891C","US","US","HCM_PSU","","LE_503",""
"LE_119","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B95832378FE77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Rising, LLC","","C8B95832378FE77AE053A062500AF1B1","US","US","HCM_PSU","","LE_119",""
"LE_121","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B9853845FE8C96E053A162500A06BA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther US LLC (US)","","C8B9853845FE8C96E053A162500A06BA","US","US","HCM_PSU","","LE_121",""
"LE_305","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958323794E77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Project Panther Bidco Ltd","","C8B958323794E77AE053A062500AF1B1","US","US","HCM_PSU","","LE_305",""
"LE_322","0001/01/01","4712/12/31","OrganizationMigrationTranslation","C8B958323799E77AE053A062500AF1B1","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal sp. z o.o.","","C8B958323799E77AE053A062500AF1B1","US","US","HCM_PSU","","LE_322",""
"LE_212","0001/01/01","4712/12/31","OrganizationMigrationTranslation","CF7D64B1EE2977CEE053A062500A9378","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal K.K.","","CF7D64B1EE2977CEE053A062500A9378","US","US","HCM_PSU","","LE_212",""
"LE_325","0001/01/01","4712/12/31","OrganizationMigrationTranslation","D190D52DA4C081B2E053A062500AD5FA","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Tidal Music - Spain, SL","","D190D52DA4C081B2E053A062500AD5FA","US","US","HCM_PSU","","LE_325",""
"LE_263","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9498B9B826B475E053A162500AAE87","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touch Australia Pty Ltd","","DB9498B9B826B475E053A162500AAE87","US","US","HCM_PSU","","LE_263",""
"LE_265","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB94AAC2F85880ADE053A162500AA254","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Touch Networks Pty Ltd","","DB94AAC2F85880ADE053A162500AA254","US","US","HCM_PSU","","LE_265",""
"LE_269","0001/01/01","4712/12/31","OrganizationMigrationTranslation","DB9498B9B82BB475E053A162500AAE87","0001/01/01","4712/12/31","0001/01/01","4712/12/31","Afterpay Warehouse Trust","","DB9498B9B82BB475E053A162500AAE87","US","US","HCM_PSU","","LE_269",""
